step,lr,train_loss,ema_loss,val_loss,grad_norm,tok_per_s,elapsed_s
1,0.0,11.4047532081604,11.4047532081604,11.390131950378418,6.942327499389648,240178.06842517434,8.18592643737793
10,5.399999999999999e-06,10.678173303604126,11.368424212932586,10.507140159606934,6.302870750427246,96341.81632367162,20.40733790397644
20,1.14e-05,9.081687450408936,11.254087374806403,8.997821807861328,4.008817672729492,86295.10425719687,22.78321599960327
1,0.0,11.4047532081604,11.4047532081604,11.390131950378418,6.942327499389648,207359.97759819272,9.48148250579834
10,5.399999999999999e-06,10.678173303604126,11.368424212932586,10.507140159606934,6.302870750427246,94513.20456070945,20.802172660827637
20,1.14e-05,9.081687450408936,11.254087374806403,8.997821807861328,4.008817672729492,85049.84941934502,23.116795778274536
30,1.74e-05,8.272685289382935,11.10501727053523,8.238642692565918,2.264669179916382,84830.00799947388,23.176704168319702
40,2.34e-05,7.8604453802108765,10.942788676019012,7.8372697830200195,1.7335915565490723,84938.53098998134,23.14709210395813
50,2.94e-05,7.45309841632843,10.768304163034482,7.427875995635986,1.6310065984725952,85097.65421613824,23.103809595108032
60,3.539999999999999e-05,6.915679216384888,10.575672915702002,6.83689546585083,1.5235264301300049,84922.53332650904,23.15145254135132
70,4.14e-05,6.264955282211304,10.360137034027467,6.206491470336914,1.6577271223068237,84910.39455462231,23.154762268066406
1,0.0,11.4047532081604,11.4047532081604,11.390728950500488,6.942327499389648,241111.44639637187,8.154237508773804
10,5.399999999999999e-06,10.6468665599823,11.366858875751495,10.502009391784668,6.367802143096924,93865.21333896031,20.945778846740723
20,1.14e-05,9.103355169296265,11.253683690428733,8.997998237609863,3.979092597961426,84327.52564104885,23.314807176589966
30,1.74e-05,8.311925888061523,11.106595800310373,8.246514320373535,2.3804168701171875,84261.42236190967,23.33309769630432
40,2.34e-05,7.871800541877747,10.944856037388742,7.840272903442383,1.6782974004745483,84265.6284922669,23.33193302154541
